jobid,submit,start,end,nnodes,duration,max_memory,randomness
328,170565489,170565576,170565685,1,108,26,0.2938289445026715
329,170565489,170565576,170565682,1,106,26,0.9993214926799014
136,170565507,170565572,170567014,8,1442,76,0.1518702645084643
137,170565512,170565514,170565521,1,6,15,0.3757245281613
138,170565512,170565514,170565521,1,6,17,0.5015452852758115
139,170565512,170565514,170565521,1,6,18,0.5904770237786156
140,170565512,170565514,170565520,1,6,16,0.5244124613045412
141,170565512,170565514,170565520,1,6,16,0.38970831659675575
142,170565512,170565514,170565520,1,6,16,0.4743010865126761
143,170565512,170565526,170565530,1,3,16,0.9383439125270274
144,170565512,170565526,170565530,1,3,18,0.9386487154241102
145,170565512,170565526,170565530,1,3,18,0.17840497799619737
146,170565512,170565526,170565532,1,5,16,0.5290757156084336
147,170565512,170565526,170565532,1,5,16,0.7185144508012485
148,170565512,170565526,170565532,1,5,16,0.5291451870957524
149,170565512,170565526,170565530,1,3,17,0.9688370517949166
150,170565512,170565526,170565530,1,3,17,0.8169156379320134
151,170565513,170565526,170565530,1,3,16,0.43812485935379775
152,170565513,170565526,170565532,1,5,31,0.26057975706809766
153,170565513,170565526,170565532,1,5,18,0.29543769206309967
154,170565513,170565526,170565532,1,5,17,0.2394615449981886
155,170565521,170565521,170565531,1,9,30,0.8699870898912409
156,170565528,170565564,170566288,1,724,24,0.08065706804246386
157,170565533,170565533,170565550,1,16,47,0.2732481434640587
158,170565538,170566661,170567487,256,825,489,0.7894624734700888
159,170565538,170567489,170568300,256,811,489,0.13485214875470586
160,170565538,170568302,170569132,256,829,482,0.25463734431158536
161,170565538,170569134,170569933,256,799,480,0.8042412807459489
162,170565538,170569376,170570174,256,797,176,0.14518581670056263
163,170565551,170580721,170582705,32,1984,101,0.6603251517567073
164,170565551,170581198,170582633,32,1435,78,0.4045114510039486
165,170565552,170581206,170583194,32,1988,102,0.49643147774026397
166,170565552,170581206,170582651,32,1444,163,0.44040939897168474
167,170565552,170581255,170583238,32,1982,103,0.9988858849505666
168,170565552,170581399,170582841,32,1441,97,0.4080135171102586
169,170565552,170581666,170583652,32,1985,101,0.8798185605440093
170,170565552,170581746,170583181,32,1434,116,0.9219152425686603
171,170565552,170581862,170583845,32,1983,145,0.9170370384150989
172,170565552,170581873,170583339,32,1465,143,0.49924126260278734
173,170565552,170581949,170583944,32,1994,80,0.984149037981441
174,170565552,170582011,170583444,32,1433,144,0.00427281304400462
175,170565552,170582044,170584024,32,1980,142,0.5076128340182531
176,170565552,170582110,170583547,32,1437,98,0.5539335766976952
177,170565552,170582122,170584108,32,1985,100,0.9036912824913133
178,170565552,170582314,170583753,32,1438,344,0.6916620004639347
179,170565552,170582635,170584623,32,1988,91,0.21429847909721478
180,170565552,170582653,170584100,32,1447,163,0.11047481366070488
181,170565552,170582707,170584697,32,1990,100,0.38411555092169747
182,170565552,170582842,170584287,32,1445,98,0.9912124440985494
183,170565552,170583183,170585347,32,2164,92,0.5885709122285252
184,170565552,170583196,170584625,32,1429,115,0.250703688439604
185,170565552,170583240,170585232,32,1992,90,0.9565371310041231
186,170565552,170583340,170584781,32,1441,92,0.6759855656393601
187,170565552,170583445,170585432,32,1987,91,0.5542846075874481
188,170565552,170583548,170584981,32,1432,92,0.31268451446020684
189,170565552,170583654,170585651,32,1997,99,0.7740963333062871
190,170565552,170583755,170585203,32,1447,344,0.2773997917737492
191,170565552,170583847,170585832,32,1984,94,0.40100245400739387
192,170565552,170583946,170585381,32,1435,80,0.10624810640823568
193,170565552,170584026,170586009,32,1982,92,0.9999512940640819
194,170565552,170584102,170585541,32,1439,163,0.11812671693944299
195,170565558,170565564,170566442,1,878,58,0.38294350730008775
196,170565558,170565564,170566469,1,905,58,0.7428865205481788
197,170565558,170565576,170566410,1,834,70,0.15850659397514222
198,170565558,170565576,170566495,1,918,71,0.6229488177736128
199,170565558,170565576,170566520,1,943,93,0.23391574366501855
200,170565558,170565576,170566405,1,828,66,0.02569316408119182
201,170565558,170565576,170566328,1,752,67,0.5516319266240338
202,170565558,170565576,170566348,1,772,71,0.6861145364357853
203,170565558,170565576,170566375,1,799,68,0.7126841361627619
204,170565558,170565576,170566429,1,852,72,0.6897935892165452
205,170565559,170565576,170566400,1,824,62,0.07681196326794315
206,170565559,170565576,170565954,1,377,72,0.06830467418622654
207,170565559,170565576,170565979,1,403,71,0.7150530295709647
208,170565559,170565576,170566570,1,993,78,0.27970176823329107
209,170565559,170565585,170566600,1,1015,63,0.39778722421244683
210,170565559,170565585,170566237,1,652,56,0.9422915196497496
211,170565559,170565585,170566472,1,887,57,0.31314070860475196
212,170565559,170565585,170566449,1,864,61,0.40612530270158165
