jobid,submit,start,end,nnodes,duration,memory
2961006,166032074,166032074,166036399,1,4324,349
2961008,166029748,166029748,166030295,2,546,77
2961010,166029748,166029748,166030293,2,544,76
2961013,166029203,166029203,166029565,1,361,37
2961024,166032227,166032227,166036552,1,4325,366
2961037,166032457,166032457,166036785,1,4326,492
2961040,166029841,166029841,166030381,2,540,77
2961043,166033022,166033022,166037349,1,4323,484
2961047,166035497,166035497,166035891,1,394,442
2961048,166029748,166029748,166030115,1,366,446
2961049,166029748,166029748,166030153,1,404,447
2961060,166039259,166039259,166043581,512,4321,387
2961067,166029841,166029841,166030388,2,547,78
2961073,166029881,166029881,166030440,2,559,80
2961074,166029910,166029910,166030466,2,555,76
2961081,166030149,166030149,166030726,2,577,77
2961090,166030237,166030237,166030794,2,556,79
2961092,166030257,166030257,166030813,2,556,78
2961098,166029841,166029841,166030211,1,370,445
2961099,166029841,166029841,166030235,1,394,442
2961100,166033034,166033034,166037451,1,4409,500
2961114,166029841,166029841,166030247,1,405,443
2961115,166029841,166029841,166030233,1,392,449
2961116,166029841,166029841,166030268,1,426,442
2961117,166029841,166029841,166030218,1,377,446
2961118,166029841,166029841,166030239,1,398,444
2961119,166029841,166029841,166030256,1,414,442
2961120,166029841,166029841,166030222,1,381,448
2961121,166029841,166029841,166030221,1,380,446
2961122,166029841,166029841,166030237,1,396,443
2961123,166029841,166029841,166030237,1,396,448
2961125,166029881,166029881,166030295,1,414,446
2961126,166029881,166029881,166030257,1,376,443
2961131,166029910,166029910,166030296,1,385,179
2961132,166029924,166029924,166030397,1,473,175
2961133,166030156,166030156,166030560,1,404,156
2961136,166030239,166030239,166030711,1,472,69
2961139,166030330,166030330,166030764,1,434,294
2961140,166030354,166030354,166030833,1,479,300
2961141,166030399,166030399,166030901,1,501,232
2961142,166030416,166030416,166030860,1,443,292
2961143,166030466,166030466,166030975,1,508,298
2961144,166030488,166030488,166030972,1,483,302
2961145,166030634,166030634,166031122,1,487,226
2961146,166030658,166030658,166031121,1,462,166
2961147,166029881,166029881,166030303,1,421,444
2961148,166030100,166030100,166030489,1,388,446
2961149,166030117,166030117,166030512,1,395,447
2961154,166032243,166032243,166036567,1,4324,383
2961157,166032657,166032657,166036980,1,4323,399
2961170,166030460,166030460,166032659,1,2199,88
